formation,location,name,periode,startDate
"Bac+3, FSJES Ain Sebaa",  Casablanca,Stagiaire en Economie et gestion ,3 mois,02/01/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Marketing ,2 mois,30/01/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Génie Informatique ,6 mois,20/02/2023
"Bac+5, FSJES Ain Sebaa",  Anfa,Stagiaire en Management ,3 mois,01/02/2023
"Bac+5, FST Errachidia",  Errachidia,Stagiaire en Génie des Systèmes Embarqués et Informatique Industrielle ,4 mois,01/02/2023
"Bac+5, Autre",  Rabat,Stagiaire en Audit ,3 mois,01/02/2023
"Bac+5, ENCG Tanger",  Témara,Stagiaire en Comptabilité Audit et Finance ,6 mois,09/01/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Economie et gestion ,1 mois,15/01/2023
"Bac+5, Hem Rabat",  Rabat,Stagiaire en Analyse Financière ,6 mois,03/04/2023
"Bac+3, Univ. Ibnou Zoh…",  Taroudant,Stagiaire en Economie et gestion ,6 mois,02/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Gestion Comptable ,3 mois,01/02/2023
"Bac+5, ENCG Kénitra",  Salé,Stagiaire en Achats &amp; approvisionnement ,4 mois,28/01/2023
"Bac+3, FST Mohammedia",  Mohammédia,Stagiaire en Développement informatique ,2 mois,02/01/2023
"Bac+5, ENCG El Jadida",  Casablanca,Stagiaire en Marketing ,6 mois,09/01/2023
"Bac+3, Institut Polyte…",  Casablanca,Stagiaire en Gestion des Entreprises et des Administrations ,3 mois,09/01/2023
"Bac+5, Emsi Casablanca",  Marrakech,Stagiaire en Génie des Systèmes Électroniques &amp; Automatiques ,4 mois,01/03/2023
"Bac+3, FST Settat",  Casablanca,Stagiaire en Génie des Systèmes Électroniques &amp; Automatiques ,,02/01/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Gestion des Ressources Humaines ,1 mois,23/01/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Commerce &amp; Management ,1 mois,16/01/2023
"Bac+5, Ecole Polytechn…",  Agadir,Stagiaire en Génie Logiciel ,4 mois,01/03/2023
"Bac+2, Autre",  Casablanca,Stagiaire en Développement informatique ,1 mois,01/02/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,3 mois,01/01/2023
"Bac+5, ENCG Fès",  Meknès,Stagiaire en Comptabilité Audit et Finance ,4 mois,15/01/2023
"Bac+5, Fac. des Scienc…",  Mohammédia,Stagiaire en Génie Eléctronique ,,01/01/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Développement informatique ,4 mois,15/02/2023
"Bac+4, Autre",  Larache,Stagiaire en Génie des Procédés ,5 mois,01/02/2023
"Bac+5, Fac. des Scienc…",  Casablanca,Stagiaire en Big Data &amp; Cloud Computing ,6 mois,01/02/2023
"Bac+4, ENCG Kénitra",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,20/01/2023
"Bac+5, FSJES Salé",  El Jadida,Stagiaire en Gestion des Ressources Humaines ,6 mois,01/02/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Commerce &amp; Management ,1 mois,16/01/2023
"Bac+5, FST Tétouan",  Larache,Stagiaire en Sciences &amp; Ingénierie de l'Environnement ,4 mois,08/01/2023
"Bac+5, ENCG Kénitra",  Salé,Stagiaire en Contrôle de gestion ,3 mois,01/02/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Comptabilité Audit et Finance ,6 mois,02/01/2023
"Bac+3, Université Ibn …",  Salé,Stagiaire en Comptabilité Audit et Finance ,3 mois,20/01/2023
"Bac+5, FS Ain Chock",  Casablanca,Stagiaire en Supply Chain ,4 mois,01/02/2023
"Bac+5, ENSA Tétouan",  Tétouan,Stagiaire en Supply Chain ,4 mois,01/02/2023
"Bac+3, Un. Sidi Mohamm…",  Fès,Stagiaire en Economie et gestion ,3 mois,01/02/2023
"Bac+5, FSJES Settat",  Bouznika,Stagiaire en Comptabilité Audit et Finance ,6 mois,06/03/2023
"Bac+5, Autre",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/02/2023
"Bac+5, FST Errachidia",  Tinghir,Stagiaire en Statistique et Informatique Décisionnelle ,6 mois,01/02/2023
"Bac+5, Université Ibn …",  Salé,Stagiaire en Audit ,6 mois,02/01/2023
"Bac+3, FSJES Agadir",  Agadir N'Iznagane,Stagiaire en Economie et gestion ,3 mois,15/01/2023
"Bac+1, ISTA ",  Khénifra,Stagiaire en Sécurité Informatique ,1 mois,27/03/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,4 mois,15/01/2023
"Bac+3, Fac. Polydiscip…",  Tinghir,Stagiaire en Economie et gestion ,2 mois,15/01/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Commerce International ,3 mois,15/01/2023
"Bac+5, ESITH",  Casablanca,Stagiaire en QHSE ,4 mois,13/02/2023
"Bac+2, FST Mohammedia",  Casablanca,Stagiaire en Génie Mécanique &amp; Productique ,2 mois,01/04/2023
"Bac+5, FST Settat",  Settat,Stagiaire en Développement informatique ,6 mois,01/02/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Gestion Logistique &amp; Transport ,3 mois,02/01/2023
"Bac+4, OFPPT",  Casablanca,Stagiaire en QHSE ,5 mois,01/01/2023
"Bac+2, ESCA",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,2 mois,01/01/2023
"Bac+5, FST Errachidia",  Boumia,Stagiaire en Informatique &amp; Systèmes d'Information ,4 mois,01/02/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Transit &amp; Déclaration Douane ,2 mois,06/01/2023
"Bac+5, ENCG Fès",  Meknès,Stagiaire en Ingénierie en Finance et Actuariat ,3 mois,05/01/2023
"Bac+5, ENCG Settat",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+3, Autre",  Safi,Stagiaire en Procédés &amp; Ingénierie Chimique ,1 mois,05/01/2023
"Bac+2, Autre",  Ben Guerir,Stagiaire en Gestion Logistique &amp; Transport ,1 mois,01/02/2023
"Bac+4, UIC",  Casablanca,"Stagiaire en Sciences Juridiques, Politiques et Sociales ",2 mois,02/01/2023
"Bac+5, UIR",  Rabat,Stagiaire en Sciences Juridiques ,3 mois,16/01/2023
"Bac+5, ENCG Tanger",  Tanger,Stagiaire en Comptabilité Audit et Finance ,6 mois,02/01/2023
"Bac+3, ENCG Casablanca",  Mohammédia,Stagiaire en Marketing ,1 mois,23/01/2023
"Bac+3, FSJES Agadir",  Agadir,Stagiaire en Economie et gestion ,1 mois,30/12/2022
"Bac+5, FST Mohammedia",  El Borouj,Stagiaire en Génie des Matériaux et Procédés ,6 mois,31/12/2022
"Bac+4, HEM Casablanca",  Casablanca,Stagiaire en Supply Chain ,3 mois,16/01/2023
"Bac+3, ESCA",  Casablanca,Stagiaire en Commerce &amp; Management ,2 mois,01/01/2023
"Bac+5, UIR",  Rabat,Stagiaire en Comptabilité Audit et Finance ,4 mois,16/01/2023
"Bac+2, ISTA ",  Agadir,Stagiaire en Comptabilité Audit et Finance ,4 mois,01/01/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Marketing &amp; Communication ,6 mois,20/01/2023
"Bac+4, Autre",  Pierrefitte,Stagiaire en Génie des Systèmes Embarqués et Informatique Industrielle ,4 mois,01/05/2023
"Plus de Bac+5, ESITH",  Casablanca,Stagiaire en Marketing ,3 mois,20/02/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+2, ISTA ",  Casablanca,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",4 mois,30/12/2022
"Bac+3, Al Akhawayn",  Marrakech,Stagiaire en Génie des Systèmes Embarqués et Informatique Industrielle ,2 mois,01/06/2023
"Bac+3, Univ. Ibnou Zoh…",  Agadir,Stagiaire en Economie et gestion ,3 mois,07/01/2023
"Bac+2, Autre",  Bordeaux,Stagiaire en Environnement &amp; Énergies Renouvelables ,1 mois,02/05/2023
"Bac+3, ENSA Kénitra",  Salé,Stagiaire en Informatique &amp; Systèmes d'Information ,4 mois,01/02/2023
"Bac+3, Autre",  Rabat,Stagiaire en Supply Chain ,,01/02/2023
"Bac+3, Autre",  Tanger,Stagiaire en Economie et gestion ,2 mois,29/12/2022
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Gestion des Entreprises et des Administrations ,4 mois,01/02/2023
"Bac+2, ISTA ",  Casablanca,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",4 mois,31/12/2022
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Développement informatique ,6 mois,01/03/2023
"Bac+3, FSJES Mohammedi…",  Deroua,Stagiaire en Développement informatique ,5 mois,01/03/2023
"Bac+3, FSJES Agadir",  Casablanca,Stagiaire en Economie et gestion ,2 mois,02/01/2023
"Bac+3, FSJES Settat",  Berrchid,Stagiaire en Gestion des Entreprises et des Administrations ,6 mois,01/01/2023
"Bac+5, Autre",  Casablanca,Stagiaire en Commerce &amp; Management ,6 mois,29/12/2022
"Bac+3, Université Ibn …",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,3 mois,28/12/2022
"Bac+2, Autre",  Meknès,Stagiaire en Communication Digitale ,2 mois,06/03/2023
"Bac+5, Fac. des Scienc…",  Oujda,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,3 mois,01/01/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,4 mois,01/01/2023
"Bac+5, Emsi Casablanca",  Mohammédia,Stagiaire en Génie Civil ,6 mois,13/02/2023
"Bac+3, FSJES Agadir",  Agadir,Stagiaire en Economie et gestion ,3 mois,29/12/2022
